시도,철도역수,평균역등급,평균정차횟수,철도교통지수
서울특별시,4,1.0,169.75,0.6075757575757575
대전광역시,3,1.6666666666666667,149.33333333333334,0.4774410774410774
대구광역시,3,2.0,138.66666666666666,0.41144781144781145
경기도,16,2.125,45.4375,0.20643939393939395
부산광역시,7,2.4285714285714284,57.714285714285715,0.19076479076479075
충청남도,19,2.4210526315789473,51.473684210526315,0.1791600212652844
전북특별자치도,12,2.3333333333333335,41.083333333333336,0.16986531986531986
경상남도,20,2.25,27.5,0.15353535353535352
광주광역시,5,2.2,24.0,0.15313131313131315
세종특별자치시,3,2.6666666666666665,52.333333333333336,0.14814814814814814
울산광역시,5,2.4,30.0,0.1385858585858586
강원특별자치도,15,2.4,21.2,0.1208080808080808
경상북도,39,2.4358974358974357,22.333333333333332,0.11831131831131832
충청북도,18,2.4444444444444446,18.38888888888889,0.10920314253647587
전라남도,26,2.5,21.96153846153846,0.109013209013209
인천광역시,0,0.0,0.0,0.0
제주특별자치도,0,0.0,0.0,0.0
