년,월,연월코드,날짜,분기,분기명,시도,시군구,등록외국인수
2022,1,202201,2022-01-01,1,Q1,강원도,강릉시,2344
2022,2,202202,2022-02-01,1,Q1,강원도,강릉시,2307
2022,3,202203,2022-03-01,1,Q1,강원도,강릉시,2306
2022,4,202204,2022-04-01,2,Q2,강원도,강릉시,2339
2022,5,202205,2022-05-01,2,Q2,강원도,강릉시,2361
2022,6,202206,2022-06-01,2,Q2,강원도,강릉시,2381
2022,7,202207,2022-07-01,3,Q3,강원도,강릉시,2451
2022,8,202208,2022-08-01,3,Q3,강원도,강릉시,2518
2022,9,202209,2022-09-01,3,Q3,강원도,강릉시,2549
2022,10,202210,2022-10-01,4,Q4,강원도,강릉시,2637
2022,11,202211,2022-11-01,4,Q4,강원도,강릉시,2640
2022,12,202212,2022-12-01,4,Q4,강원도,강릉시,2630
2023,1,202301,2023-01-01,1,Q1,강원도,강릉시,2627
2023,2,202302,2023-02-01,1,Q1,강원도,강릉시,2682
2023,3,202303,2023-03-01,1,Q1,강원도,강릉시,2730
2023,4,202304,2023-04-01,2,Q2,강원도,강릉시,2795
2023,5,202305,2023-05-01,2,Q2,강원도,강릉시,2856
2023,6,202306,2023-06-01,2,Q2,강원도,강릉시,3014
2023,7,202307,2023-07-01,3,Q3,강원도,강릉시,3049
2023,8,202308,2023-08-01,3,Q3,강원도,강릉시,3201
2023,9,202309,2023-09-01,3,Q3,강원도,강릉시,3333
2023,10,202310,2023-10-01,4,Q4,강원도,강릉시,3355
2023,11,202311,2023-11-01,4,Q4,강원도,강릉시,3362
2023,12,202312,2023-12-01,4,Q4,강원도,강릉시,3379
2024,1,202401,2024-01-01,1,Q1,강원도,강릉시,3408
2024,2,202402,2024-02-01,1,Q1,강원도,강릉시,3405
2024,3,202403,2024-03-01,1,Q1,강원도,강릉시,3496
2024,4,202404,2024-04-01,2,Q2,강원도,강릉시,3547
2024,5,202405,2024-05-01,2,Q2,강원도,강릉시,3600
2024,6,202406,2024-06-01,2,Q2,강원도,강릉시,3644
2024,7,202407,2024-07-01,3,Q3,강원도,강릉시,3700
2024,8,202408,2024-08-01,3,Q3,강원도,강릉시,3728
2024,9,202409,2024-09-01,3,Q3,강원도,강릉시,3702
2024,10,202410,2024-10-01,4,Q4,강원도,강릉시,3776
2024,11,202411,2024-11-01,4,Q4,강원도,강릉시,3813
2024,12,202412,2024-12-01,4,Q4,강원도,강릉시,3835
2025,1,202501,2025-01-01,1,Q1,강원도,강릉시,3850
2025,2,202502,2025-02-01,1,Q1,강원도,강릉시,3883
2025,3,202503,2025-03-01,1,Q1,강원도,강릉시,3954
2025,4,202504,2025-04-01,2,Q2,강원도,강릉시,4008
2025,5,202505,2025-05-01,2,Q2,강원도,강릉시,4080
2025,6,202506,2025-06-01,2,Q2,강원도,강릉시,4077
2025,7,202507,2025-07-01,3,Q3,강원도,강릉시,4158
2025,8,202508,2025-08-01,3,Q3,강원도,강릉시,4174
2025,9,202509,2025-09-01,3,Q3,강원도,강릉시,4196
2025,10,202510,2025-10-01,4,Q4,강원도,강릉시,4183
2025,11,202511,2025-11-01,4,Q4,강원도,강릉시,4140
2025,12,202512,2025-12-01,4,Q4,강원도,강릉시,4157
2026,1,202601,2026-01-01,1,Q1,강원도,강릉시,4157
2026,2,202602,2026-02-01,1,Q1,강원도,강릉시,4145
2022,1,202201,2022-01-01,1,Q1,강원도,고성군,1202
2022,2,202202,2022-02-01,1,Q1,강원도,고성군,1188
2022,3,202203,2022-03-01,1,Q1,강원도,고성군,1217
2022,4,202204,2022-04-01,2,Q2,강원도,고성군,1215
2022,5,202205,2022-05-01,2,Q2,강원도,고성군,1217
2022,6,202206,2022-06-01,2,Q2,강원도,고성군,1225
2022,7,202207,2022-07-01,3,Q3,강원도,고성군,1230
2022,8,202208,2022-08-01,3,Q3,강원도,고성군,1251
2022,9,202209,2022-09-01,3,Q3,강원도,고성군,1307
2022,10,202210,2022-10-01,4,Q4,강원도,고성군,1380
2022,11,202211,2022-11-01,4,Q4,강원도,고성군,1371
2022,12,202212,2022-12-01,4,Q4,강원도,고성군,1373
2023,1,202301,2023-01-01,1,Q1,강원도,고성군,1383
2023,2,202302,2023-02-01,1,Q1,강원도,고성군,1413
2023,3,202303,2023-03-01,1,Q1,강원도,고성군,1504
2023,4,202304,2023-04-01,2,Q2,강원도,고성군,1514
2023,5,202305,2023-05-01,2,Q2,강원도,고성군,1513
2023,6,202306,2023-06-01,2,Q2,강원도,고성군,1529
2023,7,202307,2023-07-01,3,Q3,강원도,고성군,1551
