metric_id,rank,sido,weighted_facility_score,total_units,total_rooms,population,raw_value,pre_outlier_cleaned_value,score_100
tourism_accommodation,1,서울특별시,1106.0,572.0,62057.0,9331485.0,1106.0,1025.84,100.0
tourism_accommodation,3,부산광역시,540.0,382.0,18982.0,3266598.0,540.0,540.0,52.22060501160458
tourism_accommodation,11,대구광역시,93.0,42.0,2937.0,2363629.0,93.0,93.0,8.260886668502419
tourism_accommodation,7,인천광역시,291.0,193.0,12541.0,3021010.0,291.0,291.0,27.73297667282955
tourism_accommodation,16,광주광역시,38.0,17.0,1246.0,1408422.0,38.0,38.0,2.85197277841155
tourism_accommodation,15,대전광역시,42.0,17.0,1646.0,1439157.0,42.0,42.0,3.245348334054522
tourism_accommodation,14,울산광역시,53.0,30.0,2937.0,1098049.0,53.0,53.0,4.3271311120726965
tourism_accommodation,17,세종특별자치시,9.0,5.0,411.0,,9.0,9.0,0.0
tourism_accommodation,5,경기도,362.0,200.0,19306.0,13694685.0,362.0,362.0,34.71539278549231
tourism_accommodation,6,강원특별자치도,352.0,265.0,29176.0,1517766.0,352.0,352.0,33.73195389638488
tourism_accommodation,13,충청북도,55.0,36.0,3694.0,1591177.0,55.0,55.0,4.523818889894182
tourism_accommodation,12,충청남도,63.0,45.0,4695.0,2136574.0,63.0,63.0,5.310570001180127
tourism_accommodation,10,전북특별자치도,130.0,92.0,6053.0,1738690.0,130.0,130.0,11.899610558199916
tourism_accommodation,4,전라남도,502.0,434.0,10480.0,1788819.0,502.0,502.0,48.48353723299634
tourism_accommodation,9,경상북도,184.0,126.0,8718.0,2531384.0,184.0,184.0,17.210180559380042
tourism_accommodation,8,경상남도,186.0,131.0,8860.0,3228380.0,186.0,186.0,17.406868337201526
tourism_accommodation,2,제주특별자치도,605.0,409.0,33101.0,670368.0,605.0,605.0,58.61295779080289
