metric_id,sido,sigungu,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,PM10_연평균,PM10_봄,PM10_여름,PM10_가을,PM10_겨울,pre_outlier_cleaned_value,score_100
pm10,서울특별시,서울특별시,36.0,33.0,49.0,50.0,30.0,31.0,20.0,24.0,16.0,23.0,29.0,34.0,31.25,43.0,25.0,22.67,34.33,31.25,37.1
pm10,부산광역시,부산광역시,27.0,22.0,38.0,54.0,27.0,26.0,15.0,19.0,15.0,17.0,21.0,25.0,25.5,39.67,20.0,17.67,24.67,25.5,65.85
pm10,대구광역시,대구광역시,34.0,26.0,41.0,53.0,29.0,27.0,16.0,17.0,16.0,20.0,25.0,26.0,27.5,41.0,20.0,20.33,28.67,27.5,55.85
pm10,인천광역시,인천광역시,38.0,35.0,51.0,51.0,31.0,30.0,23.0,27.0,18.0,28.0,31.0,33.0,33.0,44.33,26.67,25.67,35.33,33.0,28.35
pm10,광주광역시,광주광역시,28.0,28.0,39.0,40.0,28.0,23.0,14.0,19.0,16.0,22.0,25.0,26.0,25.67,35.67,18.67,21.0,27.33,25.67,65.0
pm10,대전광역시,대전광역시,34.0,29.0,42.0,45.0,28.0,27.0,15.0,19.0,14.0,21.0,25.0,29.0,27.33,38.33,20.33,20.0,30.67,27.33,56.7
pm10,울산광역시,울산광역시,27.0,24.0,40.0,61.0,31.0,34.0,22.0,23.0,20.0,20.0,24.0,26.0,29.33,44.0,26.33,21.33,25.67,29.33,46.7
pm10,세종특별자치시,세종특별자치시,38.0,35.0,44.0,47.0,29.0,28.0,17.0,23.0,17.0,23.0,28.0,31.0,30.0,40.0,22.67,22.67,34.67,30.0,43.35
pm10,경기도,수원,35.0,34.0,52.0,55.0,33.0,33.0,,26.0,17.0,24.0,28.0,33.0,33.64,46.67,29.5,23.0,34.0,33.64,25.15
pm10,경기도,안양,37.0,35.0,53.0,55.0,33.0,32.0,23.0,26.0,19.0,25.0,29.0,34.0,33.42,47.0,27.0,24.33,35.33,33.42,26.25
pm10,경기도,성남,35.0,32.0,48.0,49.0,29.0,30.0,20.0,24.0,17.0,21.0,27.0,32.0,30.33,42.0,24.67,21.67,33.0,30.33,41.7
pm10,경기도,의정부,35.0,31.0,50.0,49.0,29.0,31.0,21.0,27.0,20.0,23.0,28.0,32.0,31.33,42.67,26.33,23.67,32.67,31.33,36.7
pm10,경기도,광명,42.0,38.0,55.0,56.0,32.0,32.0,21.0,25.0,19.0,28.0,34.0,38.0,35.0,47.67,26.0,27.0,39.33,35.0,18.35
pm10,경기도,안산,40.0,38.0,53.0,53.0,31.0,30.0,22.0,26.0,,,29.0,33.0,35.5,45.67,26.0,29.0,37.0,35.5,15.85
pm10,경기도,평택,39.0,38.0,58.0,58.0,35.0,35.0,21.0,28.0,20.0,28.0,35.0,38.0,36.08,50.33,28.0,27.67,38.33,36.08,12.95
pm10,경기도,과천,,35.0,52.0,50.0,30.0,32.0,20.0,24.0,17.0,22.0,28.0,32.0,31.09,44.0,25.33,22.33,33.5,31.09,37.9
pm10,경기도,구리,36.0,30.0,49.0,45.0,24.0,26.0,16.0,19.0,,,,,30.62,39.33,20.33,,33.0,30.62,40.25
pm10,경기도,의왕,34.0,34.0,50.0,50.0,29.0,29.0,21.0,26.0,17.0,22.0,27.0,32.0,30.92,43.0,25.33,22.0,33.33,30.92,38.75
pm10,경기도,고양,36.0,33.0,53.0,53.0,34.0,36.0,23.0,27.0,21.0,29.0,32.0,35.0,34.33,46.67,28.67,27.33,34.67,34.33,21.7
pm10,경기도,광주,42.0,36.0,55.0,54.0,31.0,33.0,21.0,24.0,17.0,21.0,30.0,39.0,33.58,46.67,26.0,22.67,39.0,33.58,25.45
pm10,경기도,군포,35.0,34.0,53.0,56.0,33.0,33.0,21.0,25.0,18.0,27.0,30.0,33.0,33.17,47.33,26.33,25.0,34.0,33.17,27.5
pm10,경기도,시흥,42.0,37.0,55.0,58.0,35.0,35.0,24.0,28.0,21.0,31.0,35.0,38.0,36.58,49.33,29.0,29.0,39.0,36.58,10.45
pm10,경기도,부천,40.0,37.0,55.0,57.0,33.0,32.0,18.0,22.0,15.0,30.0,35.0,37.0,34.25,48.33,24.0,26.67,38.0,34.25,22.1
pm10,경기도,남양주,38.0,31.0,52.0,52.0,30.0,33.0,24.0,26.0,17.0,20.0,27.0,35.0,32.08,44.67,27.67,21.33,34.67,32.08,32.95
pm10,경기도,용인,41.0,37.0,55.0,54.0,31.0,31.0,19.0,23.0,17.0,22.0,29.0,35.0,32.83,46.67,24.33,22.67,37.67,32.83,29.2
pm10,경기도,김포,37.0,34.0,51.0,49.0,31.0,31.0,20.0,23.0,17.0,29.0,33.0,,32.27,43.67,24.67,26.33,35.5,32.27,32.0
pm10,경기도,오산,35.0,34.0,49.0,51.0,30.0,31.0,23.0,27.0,17.0,22.0,28.0,33.0,31.67,43.33,27.0,22.33,34.0,31.67,35.0
pm10,경기도,하남,36.0,31.0,51.0,52.0,30.0,32.0,24.0,28.0,18.0,20.0,,33.0,32.27,44.33,28.0,19.0,33.33,32.27,32.0
pm10,경기도,화성,36.0,34.0,53.0,55.0,33.0,34.0,23.0,27.0,20.0,28.0,31.0,33.0,33.92,47.0,28.0,26.33,34.33,33.92,23.75
pm10,경기도,양주,38.0,32.0,51.0,52.0,30.0,31.0,17.0,20.0,16.0,25.0,29.0,35.0,31.33,44.33,22.67,23.33,35.0,31.33,36.7
