metric_id,region,녹지비율_퍼센트,녹지면적_km2,행정구역면적_km2,pre_outlier_cleaned_value,score_100
green_area_ratio,서울특별시,35.44,214.68,605.75,35.44,0.0
green_area_ratio,부산광역시,52.31,410.9,785.5,52.31,33.28
green_area_ratio,대구광역시,70.15,1048.22,1494.25,70.15,68.48
green_area_ratio,인천광역시,44.98,499.42,1110.27,44.98,18.82
green_area_ratio,광주광역시,48.26,240.53,498.36,48.26,25.29
green_area_ratio,대전광역시,62.41,336.94,539.92,62.41,53.21
green_area_ratio,울산광역시,68.87,732.96,1064.32,68.87,65.95
green_area_ratio,세종특별자치시,61.52,286.2,465.22,61.52,51.45
green_area_ratio,경기도,60.81,6282.92,10330.34,60.81,50.05
green_area_ratio,강원특별자치도,86.13,14492.64,16826.35,86.13,100.0
green_area_ratio,충청북도,72.45,5372.23,7415.17,72.45,73.01
green_area_ratio,충청남도,55.38,4580.04,8270.08,55.38,39.34
green_area_ratio,전북특별자치도,60.15,4901.0,8139.11,60.15,48.75
green_area_ratio,전라남도,62.28,7751.64,12451.73,62.28,52.95
green_area_ratio,경상북도,76.35,14075.67,18436.82,76.35,80.71
green_area_ratio,경상남도,72.51,7661.68,10566.37,72.51,73.13
green_area_ratio,제주특별자치도,51.64,963.76,1866.13,51.64,31.96
