category_id,metric_id,metric_name,sido,약국수,raw_value,normalized_value,score_100,quality_status
convenience,convenience_pharmacy_access,약국접근성,강원특별자치도,714,714,0.09409153005464481,9.41,valid
convenience,convenience_pharmacy_access,약국접근성,경기도,6019,6019,1.0,100.0,valid
convenience,convenience_pharmacy_access,약국접근성,경상남도,1412,1412,0.21328551912568305,21.33,valid
convenience,convenience_pharmacy_access,약국접근성,경상북도,1145,1145,0.1676912568306011,16.77,valid
convenience,convenience_pharmacy_access,약국접근성,광주광역시,740,740,0.09853142076502733,9.85,valid
convenience,convenience_pharmacy_access,약국접근성,대구광역시,1422,1422,0.2149931693989071,21.5,valid
convenience,convenience_pharmacy_access,약국접근성,대전광역시,797,797,0.10826502732240437,10.83,valid
convenience,convenience_pharmacy_access,약국접근성,부산광역시,1732,1732,0.26793032786885246,26.79,valid
convenience,convenience_pharmacy_access,약국접근성,서울특별시,5851,5851,0.9713114754098361,97.13,valid
convenience,convenience_pharmacy_access,약국접근성,세종특별자치시,163,163,0.0,0.0,valid
convenience,convenience_pharmacy_access,약국접근성,울산광역시,443,443,0.04781420765027322,4.78,valid
convenience,convenience_pharmacy_access,약국접근성,인천광역시,1318,1318,0.19723360655737704,19.72,valid
convenience,convenience_pharmacy_access,약국접근성,전라남도,847,847,0.1168032786885246,11.68,valid
convenience,convenience_pharmacy_access,약국접근성,전북특별자치도,1004,1004,0.14361338797814208,14.36,valid
convenience,convenience_pharmacy_access,약국접근성,제주특별자치도,330,330,0.02851775956284153,2.85,valid
convenience,convenience_pharmacy_access,약국접근성,충청남도,1008,1008,0.1442964480874317,14.43,valid
convenience,convenience_pharmacy_access,약국접근성,충청북도,743,743,0.09904371584699453,9.9,valid
