category_id,metric_id,metric_name,sido,행정기관수,읍면동수,시군구수,raw_value,normalized_value,score_100,quality_status,이상치여부
convenience,convenience_admin_access,행정기관접근성,강원특별자치도,187,178,18,187,0.2829861111111111,28.3,valid,False
convenience,convenience_admin_access,행정기관접근성,경기도,600,581,45,600,1.0,100.0,valid,True
convenience,convenience_admin_access,행정기관접근성,경상남도,305,303,22,305,0.4878472222222222,48.78,valid,False
convenience,convenience_admin_access,행정기관접근성,경상북도,321,313,23,321,0.515625,51.56,valid,False
convenience,convenience_admin_access,행정기관접근성,광주광역시,96,95,5,96,0.125,12.5,valid,False
convenience,convenience_admin_access,행정기관접근성,대구광역시,150,150,9,150,0.21875,21.88,valid,False
convenience,convenience_admin_access,행정기관접근성,대전광역시,82,82,5,82,0.10069444444444445,10.07,valid,False
convenience,convenience_admin_access,행정기관접근성,부산광역시,206,206,17,206,0.3159722222222222,31.6,valid,False
convenience,convenience_admin_access,행정기관접근성,서울특별시,426,426,25,426,0.6979166666666666,69.79,valid,False
convenience,convenience_admin_access,행정기관접근성,세종특별자치시,24,24,1,24,0.0,0.0,valid,False
convenience,convenience_admin_access,행정기관접근성,울산광역시,55,55,5,55,0.05381944444444445,5.38,valid,False
convenience,convenience_admin_access,행정기관접근성,인천광역시,157,158,10,157,0.2309027777777778,23.09,valid,False
convenience,convenience_admin_access,행정기관접근성,전라남도,297,295,22,297,0.4739583333333333,47.4,valid,False
convenience,convenience_admin_access,행정기관접근성,전북특별자치도,243,237,15,243,0.3802083333333333,38.02,valid,False
convenience,convenience_admin_access,행정기관접근성,제주특별자치도,43,43,2,43,0.03298611111111111,3.3,valid,False
convenience,convenience_admin_access,행정기관접근성,충청남도,206,208,16,206,0.3159722222222222,31.6,valid,False
convenience,convenience_admin_access,행정기관접근성,충청북도,153,152,14,153,0.22395833333333334,22.4,valid,False
